id,user_id,recipient_name,phone,province,city,district,detailed_address,is_default,create_time
1,1,测试用户1,13844160831,上海市,上海市,南山区,南山区测试路489号8栋980室,1,2026-08-14 09:17:42
2,1,测试用户1,13810734097,湖北省,宜昌市,天河区,天河区测试路727号1栋692室,0,2026-07-31 15:22:42
3,1,测试用户1,13852399610,北京市,北京市,天河区,天河区测试路419号12栋210室,0,2026-08-12 05:14:42
4,2,测试用户2,13866849468,江苏省,苏州市,芙蓉区,芙蓉区测试路579号12栋727室,1,2026-08-07 21:30:42
5,2,测试用户2,13884834795,浙江省,宁波市,芙蓉区,芙蓉区测试路495号6栋480室,0,2026-07-30 01:25:42
6,2,测试用户2,13863436070,江苏省,苏州市,鼓楼区,鼓楼区测试路754号5栋976室,0,2026-08-12 19:41:42
7,3,测试用户3,13878228715,广东省,广州市,天河区,天河区测试路411号11栋921室,1,2026-07-29 23:11:42
8,3,测试用户3,13895345915,北京市,北京市,锦江区,锦江区测试路6号3栋944室,0,2026-08-12 02:56:42
9,4,测试用户4,13845311610,湖北省,武汉市,朝阳区,朝阳区测试路228号12栋182室,1,2026-07-28 17:09:42
10,4,测试用户4,13848449249,湖北省,宜昌市,芙蓉区,芙蓉区测试路729号20栋159室,0,2026-08-10 22:24:42
11,4,测试用户4,13898165507,湖南省,长沙市,天河区,天河区测试路954号17栋393室,0,2026-08-10 17:05:42
12,5,测试用户5,13814840043,浙江省,温州市,南山区,南山区测试路369号8栋771室,1,2026-08-16 13:50:42
13,5,测试用户5,13899880518,江苏省,苏州市,鼓楼区,鼓楼区测试路405号13栋701室,0,2026-08-10 02:55:42
14,5,测试用户5,13848184109,上海市,上海市,芙蓉区,芙蓉区测试路744号18栋697室,0,2026-08-05 07:03:42
15,6,测试用户6,13871036720,浙江省,温州市,天河区,天河区测试路953号13栋689室,1,2026-08-16 10:44:42
16,6,测试用户6,13819715480,湖北省,武汉市,芙蓉区,芙蓉区测试路516号10栋449室,0,2026-08-13 02:39:42
17,7,测试用户7,13860610858,江苏省,无锡市,武昌区,武昌区测试路577号16栋889室,1,2026-08-09 08:06:42
18,7,测试用户7,13874688940,湖南省,株洲市,海淀区,海淀区测试路120号9栋170室,0,2026-08-03 22:05:42
19,7,测试用户7,13852376656,浙江省,温州市,天河区,天河区测试路423号12栋629室,0,2026-07-30 18:11:42
20,8,测试用户8,13863543563,浙江省,宁波市,朝阳区,朝阳区测试路690号11栋178室,1,2026-07-30 13:25:42
21,8,测试用户8,13887002404,四川省,绵阳市,天河区,天河区测试路276号6栋865室,0,2026-08-10 03:08:42
22,9,测试用户9,13845622106,浙江省,温州市,天河区,天河区测试路212号8栋308室,1,2026-08-08 23:33:42
23,10,测试用户10,13899043272,上海市,上海市,朝阳区,朝阳区测试路505号20栋107室,1,2026-07-30 17:01:42
24,11,测试用户11,13887110685,四川省,绵阳市,武昌区,武昌区测试路890号9栋603室,1,2026-08-11 02:38:42
